'APC.eleven_prime' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.sqrt_eleven_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.minus_exact' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.plus_exact' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.minus_negative' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.plus_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.minus_moment_radius' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.minus_moment_inverse' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.plus_moment_radius' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.plus_moment_inverse' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.primeRadius_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.primeRadius_lt_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.primeRadius_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.localMultiplier_exp' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.localWeight_formula' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.localWeight_defect' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.localWeight_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.localWeight_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.localWeight_at_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.localWeight_at_pi_div_log' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.localWeight_defect_negative' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.localWeight_defect_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.primePowerCoefficient_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.primePowerCoefficient_vonMangoldt' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.localPrimePowerSum_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.localPrimePowerSum_eq_zero_of_support' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.discreteCorrelation_eq_zero_of_ge' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.localLatticeSum_stable' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.lattice_profile_of_support' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.translatedCorrelation_sample' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.localPrimePowerSum_translated' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.localLatticeSum_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.localLatticeSum_four' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.translated_minus_exact' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.translated_plus_exact' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.soninShell_at_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.soninShell_at_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.soninShell_no_nonzero_scalar_idempotent' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.soninShell_tensor_not_multiplicative' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.eulerDenominator_analytic' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.eulerDenominator_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.eulerDenominator_hasDerivAt_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.eulerDenominator_deriv_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.eulerDenominator_order_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.eulerDenominator_no_local_square' depends on axioms: [propext, Classical.choice, Quot.sound]
'APC.eulerDenominator_no_entire_square' depends on axioms: [propext, Classical.choice, Quot.sound]
